word,count,sentiment_avg
AirPods,16,-0.375
airpods,10,-0.1
Pro,9,-0.3333333333333333
2,6,-0.3333333333333333
pra,5,0.0
Apple,5,-0.2
fone,4,-0.75
comprar,3,-1.0
É,3,-0.3333333333333333
ouvido,3,-0.6666666666666666
R,3,0.0
Airpods,3,0.6666666666666666
perdi,3,-1.0
"1804,05",2,0.0
dinheiro,2,-0.5
ainda,2,0.5
pros,2,-0.5
preto,2,-0.5
agora,2,-0.5
tecnologia,2,-1.0
Meu,2,0.0
vida,2,1.0
aqui,2,0.5
Dolby,2,-1.0
sempre,2,0.0
max,2,0.0
mandou,2,-0.5
Eu,2,0.0
Por,2,0.0
chique,2,-1.0
